label,polar,subjective,year,month,day,in_between,keyword_score,1stperson_score
0,0.8,0.75,2021,4,21,0,0,0
0,-0.75,1,2021,4,17,4,0,1
0,0.045454545,0.151515152,2021,4,14,3,0,1
0,-0.2,0.3,2021,4,14,0,0,3
0,0,0,2021,4,12,2,0,2
0,0,0,2021,4,11,1,0,0
0,0,0,2021,4,6,5,0,0
0,0.375,0.75,2021,4,5,1,1,2
0,0.5,0.5,2021,4,1,4,0,0
0,0,0,2021,3,30,2,0,0
0,0.2,0.2,2021,3,28,2,0,0
0,0,0,2021,3,26,2,0,1
0,0,0,2021,3,25,1,0,0
0,0,0,2021,3,23,2,0,0
0,0,0,2021,3,21,2,0,1
0,0,0,2021,3,20,1,0,1
0,0,0,2021,3,17,3,0,0
0,0,0,2021,3,15,2,0,5
0,0.175,0.308333333,2021,3,12,3,0,2
0,0.525,0.666666667,2021,3,2,10,0,1
0,0.1,0.183333333,2021,2,20,10,0,1
0,0.1,0.2,2021,2,4,16,0,1
0,0,0,2021,2,1,3,0,2
0,0,0,2021,1,21,11,0,1
0,0.4,1,2021,1,16,5,0,0
0,0,1,2021,1,16,0,0,2
0,0,0,2021,1,13,3,0,0
0,0,0,2021,1,12,1,0,1
0,-0.015909091,0.863636364,2021,1,1,11,0,2
0,0,0.5,2020,12,20,12,0,1
0,0,0,2020,11,30,20,0,1
0,0.216666667,0.7,2020,11,25,5,0,2
0,-0.175,0.9,2020,11,24,1,0,1
0,0.033333333,0.066666667,2020,11,23,1,0,1
0,0.136363636,0.454545455,2020,11,9,14,0,1
0,-0.325,0.525,2020,11,7,2,0,0
0,0,0,2020,11,6,1,0,1
0,0,0,2020,10,22,15,0,0
0,0.1,0.6,2020,10,13,9,0,1
0,0,0,2020,10,11,2,0,2
0,0,0,2020,10,11,0,0,0
0,0,0,2020,9,29,12,0,3
0,0,0,2020,9,21,8,0,0
0,-0.075,0.3,2020,9,20,1,0,1
0,-0.8,0.9,2020,9,14,6,0,3
0,-0.3,0.3,2020,9,9,5,0,0
0,-0.475,0.525,2020,9,8,1,0,0
0,-0.15,0.2,2020,9,8,0,0,1
0,0.166666667,0.4,2020,9,1,7,0,1
0,0,0,2020,8,31,1,0,1
0,0,0,2020,8,26,5,0,2
0,-0.7,1,2020,8,22,4,0,0
0,-0.016666667,0.633333333,2020,8,14,8,0,1
0,-0.233333333,0.733333333,2020,8,10,4,0,0
0,0,0,2020,8,10,0,0,3
0,0,0,2020,8,10,0,0,0
0,0,0,2020,8,8,2,0,0
0,-0.75,1,2020,8,6,2,0,0
0,0,0,2020,8,5,1,0,0
0,-0.327777778,0.394444444,2020,7,31,5,0,1
0,-0.083333333,0.216666667,2020,7,23,8,0,1
0,-0.283333333,0.516666667,2020,7,17,6,0,1
0,0,0,2020,7,2,15,0,1
0,0.166666667,0.258730159,2020,6,29,3,0,1
0,0.2,0.2,2020,6,19,10,0,0
0,0,0,2020,6,19,0,0,0
0,0.6,1,2020,6,17,2,0,1
0,0,0,2020,6,2,15,0,0
0,-0.145,0.38,2020,6,1,1,0,3
0,-0.35,0.8,2020,5,24,8,0,1
0,0.5,0.5,2020,5,22,2,0,0
0,-0.75,1,2020,5,9,13,0,2
0,0.136363636,0.454545455,2020,4,21,18,0,1
0,0,0,2020,4,13,8,0,1
0,0,0,2020,3,24,20,0,0
